20,50,100,300,500,1000,3000,5000,
0.00098,0.00453,0.01662,0.14160,0.40934,1.67184,16.02511,43.94419,
0.00081,0.00446,0.01626,0.14985,0.41401,1.66368,15.81335,42.92443,
0.00100,0.00494,0.01681,0.13349,0.39768,1.71020,15.32664,42.34486,
0.00091,0.00463,0.01631,0.14431,0.43058,1.69048,15.43365,43.03124,
0.00081,0.00501,0.01593,0.14017,0.42288,1.73428,15.67502,42.77341,
0.00093,0.00482,0.01721,0.14083,0.40681,1.67899,15.30988,42.56556,
0.00086,0.00453,0.01745,0.13580,0.41776,1.75500,15.41452,41.61763,
0.00103,0.00401,0.01774,0.14088,0.42629,1.69873,15.23428,42.85398,
0.00107,0.00415,0.01678,0.15187,0.41051,1.70448,15.75656,42.61742,
0.00098,0.00455,0.01841,0.14725,0.41437,1.70395,15.24239,43.22648,
0.00083,0.00422,0.01740,0.13919,0.40889,1.66049,15.58046,41.89811,
0.00086,0.00484,0.01724,0.13576,0.43061,1.67122,15.42916,42.50903,
0.00095,0.00470,0.01574,0.14458,0.42169,1.63300,15.49666,42.54298,
0.00091,0.00460,0.01631,0.13819,0.42107,1.68545,15.64333,42.34288,
0.00093,0.00417,0.01712,0.13649,0.38853,1.72193,15.69254,22.90952,
