20,50,100,300,500,1000,3000,5000,
0.00198,0.00503,0.01135,0.03715,0.07143,0.15819,0.53928,0.93546,
0.00176,0.00472,0.01080,0.03705,0.07083,0.16379,0.53535,0.93358,
0.00174,0.00482,0.01078,0.03808,0.06905,0.15965,0.52927,0.95170,
0.00174,0.00472,0.01087,0.03703,0.06938,0.15786,0.54140,0.93610,
0.00167,0.00472,0.01078,0.03688,0.07274,0.15681,0.52936,0.96583,
0.00169,0.00474,0.01082,0.03700,0.06974,0.15805,0.52922,0.91577,
0.00169,0.00479,0.01075,0.03753,0.06940,0.15783,0.54727,0.95038,
0.00169,0.00474,0.01075,0.03691,0.07007,0.15767,0.53239,0.94190,
0.00172,0.00472,0.01078,0.03698,0.06890,0.15700,0.52621,0.93889,
0.00172,0.00482,0.01070,0.03703,0.06967,0.15669,0.52662,0.91736,
0.00172,0.00472,0.01080,0.03691,0.06897,0.16150,0.52643,0.91677,
0.00167,0.00472,0.01080,0.03693,0.06967,0.15812,0.52960,0.93164,
0.00172,0.00479,0.01080,0.03688,0.06857,0.15705,0.53163,0.93434,
0.00165,0.00477,0.01080,0.03679,0.06926,0.15504,0.54281,0.94352,
0.00169,0.00477,0.01075,0.03779,0.06905,0.15361,0.52457,0.67074,
